state,fit,ec_votes,votes
Alabama,35.72197175530175,9,1036546.1987274718
Alaska,43.083921592087556,3,192794.55033476895
Arizona,50.12678679531411,11,1936305.0954392876
Arkansas,33.554544936712645,6,554809.2377665595
California,64.49785112712325,55,12864593.15066275
Colorado,56.75999143497461,9,2039315.7638603505
Connecticut,63.946260569782346,7,1403030.5918605863
Delaware,62.89291946817261,3,371315.46523051313
Florida,49.73213214318073,29,5776466.804187566
Georgia,49.47751335754947,16,2806279.1429266613
Hawaii,67.83638603911528,4,467655.95708568057
Idaho,34.90187018409874,4,385707.89540113905
Illinois,57.4261619182876,20,4399638.193322439
Indiana,41.186421551994684,11,1640087.597460369
Iowa,47.600648849145266,6,989708.4686938755
Kansas,40.64215713725686,6,731732.7980370926
Kentucky,37.376257775567076,8,949476.1283502951
Louisiana,34.83994205104359,8,1043856.1339408564
Maine,56.42891221655168,4,527401.8828544712
Maryland,65.93144572247456,10,2354931.2977573588
Massachusetts,69.4824868017213,11,2990303.105059657
Michigan,52.85200677337535,16,3304187.215642656
Minnesota,52.8744604225415,10,2119552.2827619133
Mississippi,37.47693610478151,6,724767.0745316885
Missouri,42.828369172558084,10,1696998.5435861908
Montana,44.43481192964643,3,319234.16203178244
Nebraska,40.717469733449086,5,490622.1967678511
Nevada,51.33237171503485,6,796408.6970325694
New Hampshire,53.919218521373104,4,473978.59506822383
New Jersey,61.33139256251156,14,3119279.0498417676
New Mexico,55.14733160242817,5,653219.4270735448
New York,65.68310430801067,29,6791349.018668694
North Carolina,49.82697201707583,15,3010637.925037048
North Dakota,35.82997605371269,3,186818.5056927026
Ohio,48.10311066598163,18,3478276.8904991006
Oklahoma,33.54177922937723,7,768338.354329789
Oregon,60.26698818093484,7,1640035.853855789
Pennsylvania,50.75078108321512,20,3778069.122896153
Rhode Island,66.70923106941206,4,431929.89207585197
South Carolina,42.298698895612205,9,1237012.570094339
South Dakota,38.03457488976703,3,221636.93214004606
Tennessee,38.29087702577152,11,1409719.878280225
Texas,48.10594532475464,38,7010638.061062216
Utah,40.02203863788744,6,796028.8805739447
Vermont,69.76234275537821,3,274027.232637122
Virginia,55.22260235468139,13,2787585.022606974
Washington,62.70277951466194,12,2952227.657936089
West Virginia,31.18869829256939,5,300713.65858466143
Wisconsin,52.3781182696424,10,2146365.7458777386
Wyoming,28.352956507783883,3,103511.30738962142
District of Columbia,92.99532796475587,3,400745.08242466557
