state,population,avg_turnout,sd_turnout,voters
Alabama,4903185,0.5918,2.7042353612229997,2901704.883
Alaska,731545,0.6117,4.072959611879302,447486.0765
Arizona,7278717,0.5307000000000001,4.9966766733277614,3862815.1119000004
Arkansas,3017804,0.5479,3.592414848600374,1653454.8116000001
California,39512223,0.5048,3.0297781363584293,19945770.1704
Colorado,5758736,0.6239,4.169052650183253,3592875.3904
Connecticut,3565287,0.6154000000000001,5.211781525224044,2194077.6198
Delaware,973764,0.6063000000000001,3.3089273186336365,590393.1132
District of Columbia,705749,0.6106,6.968691890639638,430930.3394
Florida,21477737,0.5408,1.9634436867685074,11615160.169599999
Georgia,10617423,0.5342,3.5931416151700266,5671827.3666
Hawaii,1415872,0.4869,5.944268948603632,689388.0768
Idaho,1787065,0.6184000000000001,5.060786061033953,1105120.996
Illinois,12671821,0.6046,4.318487389507273,7661382.976600001
Indiana,6732219,0.5915,2.5855366947695795,3982107.5385000003
Iowa,3155070,0.659,3.386246693120077,2079191.1300000001
Kansas,2913314,0.618,3.9832984656772434,1800428.052
Kentucky,4467673,0.5686,3.987257481304941,2540318.8678
Louisiana,4648794,0.6445000000000001,2.6328058543437383,2996147.7330000005
Maine,1344212,0.6953,2.355159820007501,934630.6036
Maryland,6045680,0.5908,3.4527927504815272,3571787.744
Massachusetts,6892503,0.6244,2.988199011667954,4303678.873199999
Michigan,9986857,0.626,2.661661970356951,6251772.482
Minnesota,5639632,0.7108,3.809870222344996,4008650.4255999997
Mississippi,2976149,0.6498,5.349101689899799,1933901.6202000002
Missouri,6137428,0.6456000000000001,1.9755168100187521,3962323.5168000003
Montana,1068778,0.6722,3.028677745962565,718432.5716
Nebraska,1934408,0.6229,2.4528668034680456,1204942.7432
Nevada,3080156,0.5037,3.806149994125006,1551474.5772000002
New Hampshire,1359711,0.6465000000000001,4.17991227978132,879053.1615
New Jersey,8882190,0.5726,2.8729388747026583,5085941.994
New Mexico,2096829,0.5649000000000001,4.640510029440012,1184498.7021
New York,19453561,0.5315,2.6218102312884666,10339567.6715
North Carolina,10488084,0.5761000000000001,4.503689845251582,6042185.192400001
North Dakota,762062,0.6842,4.032589463084207,521402.8204
Ohio,11689100,0.6186,2.297921766389021,7230877.260000001
Oklahoma,3956971,0.5789,4.43231817951334,2290690.5119
Oregon,4217737,0.6452,3.489921998491592,2721283.9124
Pennsylvania,12801989,0.5815,2.8289181285038594,7444356.6035
Rhode Island,1059361,0.6112,3.966750699390008,647481.4432
South Carolina,5148714,0.568,5.518252541440189,2924469.5519999997
South Dakota,884659,0.6587000000000001,5.767543285971555,582724.8833000001
Tennessee,6829174,0.5391,2.164588747186044,3681607.7034
Texas,28995881,0.5025999999999999,3.3981040465399386,14573329.790599998
Utah,3205958,0.6204,8.7503904674782,1988976.3431999998
Vermont,623989,0.6295000000000001,2.6201145013147795,392801.07550000004
Virginia,8535519,0.5914,3.0037754021675225,5047905.936600001
Washington,7614893,0.6183,2.2350988046765767,4708288.341899999
West Virginia,1792147,0.538,3.9701665232357977,964175.086
Wisconsin,5822434,0.7038,3.7761826697811585,4097829.0492
Wyoming,578759,0.6308,2.8981986742726176,365081.17720000003
